country,region,name,latitude,longitude
GP,0,Petit-Bourg,16.1833,-61.5833
RE,0,Saint-Pierre,-21.3167,55.4833
RS,0,Kisac,45.3503,19.7286
RS,0,Backi Jarak,45.3703,19.875
FO,0,Sandur,61.8333,-6.8
MQ,0,Le Robert,14.6667,-60.9333
MQ,0,Sainte-Luce,14.4667,-60.9167
GP,0,Sainte-Anne,16.2333,-61.3667
GP,0,Gustavia,17.8833,-62.85
GP,0,Basse-Terre,16,-61.7167
GP,0,Sainte-Rose,16.3333,-61.6833
GP,0,Capesterre-Belle-Eau,16.05,-61.55
GP,0,Lamentin,16.2667,-61.6167
RE,0,Sainte-Suzanne,-20.9,55.6167
RE,0,Etang,-20.9167,55.6667
RE,0,Sainte-Clotilde,-20.8833,55.4833
RE,0,Saint Gilles,-21.0333,55.2333
RE,0,Sainte-Marie,-20.8833,55.55
RE,0,Salazie,-21.0167,55.55
RE,0,Le Tampon,-21.2667,55.5167
GF,0,Cayenne,4.9333,-52.3333
GF,0,Kourou,5.15,-52.65
GF,0,Macouria,4.9167,-52.3667
RS,0,Stara Pazova,44.985,20.1608
RS,0,Petrovac,44.3769,21.4192
RS,0,Ada,45.8025,20.1258
RS,0,Sremska Kamenica,45.2233,19.8431
RS,0,Josanicka Banja,43.3892,20.7522
RS,0,Kucura,45.5189,19.5881
FO,0,Leynar,62.1167,-7.0333
GP,0,Petit-Canal,16.3833,-61.4833
MQ,0,Le Vauclin,14.5333,-60.8333
GP,0,Saint-Claude,16.0167,-61.6833
GP,0,Baie Mahault,16.3167,-61.0167
GF,0,Sinnamary,5.3833,-52.95
MQ,0,Le Marin,14.4667,-60.8667
GP,0,Gourbeyre,15.9833,-61.6833
GP,0,Le Galet,16.3,-61.0833
FO,0,Skopun,61.9,-6.8667
RS,0,Dolovo,42.5656,20.5611
RS,0,Temerin,45.4086,19.8892
RS,0,Pozarevac,44.6153,21.1825
AW,0,Pos Chikito,12.45,-69.95
RS,0,Backi Petrovac,45.3606,19.5917
RS,0,Zrenjanin,45.3836,20.3819
RS,0,Horgos,46.1556,19.9725
RS,0,Dobrici,42.9261,20.5442
RS,0,Stropac,42.8394,20.5875
RS,0,Nis,43.025,20.5983
RS,0,Bor,44.0783,22.0953
RS,0,Sajkas,45.2722,20.0897
RS,0,Kula,42.5506,22.2483
MT,0,Saint Paul's Bay,35.9483,14.4006
RS,0,Cantavir,45.9203,19.7631
RS,0,Niksic,44.0992,21.0019
RS,0,Podgorica,43.7753,19.6828
ME,0,Krstac,42.2214,18.9114
ME,0,Plana,42.5014,19.1383
RS,0,Pejovici,43.0275,20.7533
